image,tag,total_layers,file_layer,image_size(byte),layer_size(byte),file_size(byte),filepath
jruby,latest,11,8,340748337,42020758,2305,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/dependency_request.rb
jruby,latest,11,8,340748337,42020758,2952,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/git_set.rb
jruby,latest,11,8,340748337,42020758,1301,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/git_specification.rb
jruby,latest,11,8,340748337,42020758,1445,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/index_set.rb
jruby,latest,11,8,340748337,42020758,2350,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/index_specification.rb
jruby,latest,11,8,340748337,42020758,1244,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/installed_specification.rb
jruby,latest,11,8,340748337,42020758,6624,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/installer_set.rb
jruby,latest,11,8,340748337,42020758,805,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/local_specification.rb
jruby,latest,11,8,340748337,42020758,1706,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/lock_set.rb
jruby,latest,11,8,340748337,42020758,1858,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/lock_specification.rb
jruby,latest,11,8,340748337,42020758,1963,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/delegates/resolution_state.rb
jruby,latest,11,8,340748337,42020758,3280,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/delegates/specification_provider.rb
jruby,latest,11,8,340748337,42020758,930,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/dependency_graph/action.rb
jruby,latest,11,8,340748337,42020758,1909,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/dependency_graph/add_edge_no_circular.rb
jruby,latest,11,8,340748337,42020758,1641,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/dependency_graph/add_vertex.rb
jruby,latest,11,8,340748337,42020758,1832,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/dependency_graph/delete_edge.rb
jruby,latest,11,8,340748337,42020758,1540,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/dependency_graph/detach_vertex_named.rb
jruby,latest,11,8,340748337,42020758,3621,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/dependency_graph/log.rb
jruby,latest,11,8,340748337,42020758,8331,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/dependency_graph.rb
jruby,latest,11,8,340748337,42020758,1117,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/dependency_graph/set_payload.rb
jruby,latest,11,8,340748337,42020758,681,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/dependency_graph/tag.rb
jruby,latest,11,8,340748337,42020758,5198,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/dependency_graph/vertex.rb
jruby,latest,11,8,340748337,42020758,6018,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/errors.rb
jruby,latest,11,8,340748337,42020758,139,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/gem_metadata.rb
jruby,latest,11,8,340748337,42020758,4199,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/modules/specification_provider.rb
jruby,latest,11,8,340748337,42020758,1745,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/modules/ui.rb
jruby,latest,11,8,340748337,42020758,357,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo.rb
jruby,latest,11,8,340748337,42020758,34467,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/resolution.rb
jruby,latest,11,8,340748337,42020758,1573,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/resolver.rb
jruby,latest,11,8,340748337,42020758,1838,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo/lib/molinillo/state.rb
jruby,latest,11,8,340748337,42020758,73,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/molinillo.rb
jruby,latest,11,8,340748337,42020758,9878,/opt/jruby/lib/ruby/stdlib/rubygems/resolver.rb
jruby,latest,11,8,340748337,42020758,1367,/opt/jruby/lib/ruby/stdlib/rubygems/resolver/requirement_list.rb
